목적/사유,위도,경도,grade,EMD_CD,EMD_ENG_NM,EMD_KOR_NM
재물손괴,37.209252370000002,127.030288700000000,"2","41590116",Jinan-dong,진안동
절도사건,37.208723710000001,127.079781800000006,"3","41590128",Seogu-dong,석우동
재물손괴,37.169865100000003,126.982954599999999,"2","41590410",Jeongnam-myeon,정남면
교통사고,37.216852520000003,126.738106500000001,"2","41590340",Songsan-myeon,송산면
교통사고,37.162311000000003,126.933419000000001,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.204028999999998,126.801013800000007,"2","41590262",Namyang-eup,남양읍
교통사고,37.062665199999998,126.792273399999999,"2","41590256",Ujeong-eup,우정읍
도로교통법위반,37.207401949999998,126.988533799999999,"2","41590126",Annyeong-dong,안녕동
교통사고,37.131752079999998,126.919589599999995,"2","41590259",Hyangnam-eup,향남읍
도로교통법위반,37.126032340000002,126.924415900000000,"2","41590259",Hyangnam-eup,향남읍
재물손괴,37.203109200000000,127.059848000000002,"2","41590127",Bansong-dong,반송동
재물손괴,37.211266500000001,127.013385299999996,"2","41590125",Songsan-dong,송산동
절도사건,37.205944320000000,127.065083400000006,"3","41590127",Bansong-dong,반송동
절도사건,37.187462810000000,127.071499599999996,"3","41590127",Bansong-dong,반송동
교통사고,37.129663290000003,126.909887200000000,"2","41590259",Hyangnam-eup,향남읍
미귀가자,37.205885610000003,127.022542099999995,"5","41590125",Songsan-dong,송산동
미귀가자,37.209252370000002,127.030288700000000,"5","41590116",Jinan-dong,진안동
절도사건,37.135740550000001,126.911137199999999,"3","41590259",Hyangnam-eup,향남읍
교통사고,37.210962440000003,126.856002799999999,"2","41590262",Namyang-eup,남양읍
교통사고,37.190381639999998,126.973860200000004,"2","41590410",Jeongnam-myeon,정남면
교통사고,37.073349270000001,126.834230599999998,"2","41590370",Jangan-myeon,장안면
교통사고,37.164460750000003,126.932311700000000,"2","41590253",Bongdam-eup,봉담읍
도로교통법위반,37.206988080000002,127.041660600000000,"2","41590117",Byeongjeom-dong,병점동
도로교통법위반,37.224092970000001,127.076257799999993,"2","41590128",Seogu-dong,석우동
도로교통법위반,37.197565380000000,127.077984299999997,"2","41590127",Bansong-dong,반송동
교통사고,37.221937939999997,126.839333199999999,"2","41590262",Namyang-eup,남양읍
절도사건,37.195476769999999,127.069859500000007,"3","41590127",Bansong-dong,반송동
폭행사건,37.090517800000001,126.818074600000003,"4","41590256",Ujeong-eup,우정읍
자살의심자,37.205885610000003,127.022542099999995,"4","41590125",Songsan-dong,송산동
도로교통법위반,37.223635969999997,127.074543800000001,"2","41590128",Seogu-dong,석우동
재물손괴,37.208313969999999,127.052371600000001,"2","41590118",Neung-dong,능동
교통사고,37.235780640000002,127.061956300000006,"2","41590120",Banwol-dong,반월동
교통사고,37.112631129999997,126.898743199999998,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.167033300000000,126.881351899999999,"2","41590360",Paltan-myeon,팔탄면
교통사고,37.078534920000003,126.815202600000006,"2","41590370",Jangan-myeon,장안면
납치감금,37.167977160000000,126.700294600000007,"5","41590350",Seosin-myeon,서신면
폐기물무단투기,37.215700599999998,126.958823100000004,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.182375000000000,127.092207000000002,"3","41590138",Banggyo-dong,방교동
도로교통법위반,37.210155170000000,127.030127899999997,"2","41590116",Jinan-dong,진안동
도로교통법위반,37.206936990000003,127.037642300000002,"2","41590117",Byeongjeom-dong,병점동
교통사고,37.171859009999999,126.999404699999999,"2","41590410",Jeongnam-myeon,정남면
절도사건,37.211553950000003,127.073153099999999,"3","41590128",Seogu-dong,석우동
절도사건,37.211900770000000,127.043248300000002,"3","41590116",Jinan-dong,진안동
교통사고,37.205246500000001,126.770839800000005,"2","41590330",Mado-myeon,마도면
폭행사건,37.126527650000000,126.914111199999994,"4","41590259",Hyangnam-eup,향남읍
사망사고,37.218454070000000,127.056399200000001,"5","41590118",Neung-dong,능동
절도사건,37.194782429999997,127.075002699999999,"3","41590127",Bansong-dong,반송동
절도사건,37.211553950000003,127.073153099999999,"3","41590128",Seogu-dong,석우동
절도사건,37.211900770000000,127.043248300000002,"3","41590116",Jinan-dong,진안동
교통사고,37.197160470000000,127.051575400000004,"2","41590118",Neung-dong,능동
교통사고,37.205246500000001,126.770839800000005,"2","41590330",Mado-myeon,마도면
교통사고,37.209401520000000,126.815669999999997,"2","41590262",Namyang-eup,남양읍
강도상해사건,37.122636239999999,126.994724000000005,"4","41590259",Hyangnam-eup,향남읍
절도사건,37.209443999999998,127.107277999999994,"3","41590131",Yeongcheon-dong,영천동
절도사건,37.207984000000003,127.107208000000000,"3","41590131",Yeongcheon-dong,영천동
절도사건,37.189195529999999,127.076705000000004,"3","41590127",Bansong-dong,반송동
교통사고,37.210155790000002,127.064135399999998,"2","41590127",Bansong-dong,반송동
교통사고,37.217398390000000,126.975523499999994,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.250363219999997,126.872337200000004,"2","41590320",Bibong-myeon,비봉면
폭행사건,37.129871029999997,126.919859700000003,"4","41590259",Hyangnam-eup,향남읍
절도사건,37.207048370000003,127.079260199999993,"3","41590128",Seogu-dong,석우동
교통사고,37.280750279999999,126.884941799999993,"2","41590310",Maesong-myeon,매송면
교통사고,37.118949540000003,126.990963300000004,"2","41590400",Yanggam-myeon,양감면
교통사고,37.208095849999999,127.073810600000002,"2","41590128",Seogu-dong,석우동
절도사건,37.125301729999997,126.985734899999997,"3","41590259",Hyangnam-eup,향남읍
쓰레기상습투기,37.221374369999999,126.948356300000000,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.154689970000000,126.847401599999998,"3","41590360",Paltan-myeon,팔탄면
교통사고,37.198075740000000,127.023352900000006,"2","41590126",Annyeong-dong,안녕동
교통사고,37.222284600000002,127.076341400000004,"2","41590128",Seogu-dong,석우동
절도사건,37.188192330000000,127.070101100000002,"3","41590127",Bansong-dong,반송동
절도사건,37.216902519999998,127.037916199999998,"3","41590116",Jinan-dong,진안동
절도사건,37.232273520000000,127.060971600000002,"3","41590120",Banwol-dong,반월동
교통사고,37.209565200000000,127.032051300000006,"2","41590116",Jinan-dong,진안동
교통사고,37.167033300000000,126.881351899999999,"2","41590360",Paltan-myeon,팔탄면
교통사고,37.284363229999997,126.907568299999994,"2","41590310",Maesong-myeon,매송면
폭행사건,37.133213339999998,126.923539599999998,"4","41590259",Hyangnam-eup,향남읍
교통사고,37.184797869999997,126.940058100000002,"2","41590253",Bongdam-eup,봉담읍
폭행사건,37.204991900000003,127.065133500000002,"4","41590127",Bansong-dong,반송동
112신고,37.131282570000003,126.918317000000002,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.208362360000002,126.816786800000003,"2","41590262",Namyang-eup,남양읍
재물손괴,37.200277829999997,126.965820600000001,"2","41590253",Bongdam-eup,봉담읍
폭행사건,37.219223900000003,126.973761699999997,"4","41590253",Bongdam-eup,봉담읍
절도사건,37.211465799999999,127.080022299999996,"3","41590128",Seogu-dong,석우동
교통사고,37.208362360000002,126.816786800000003,"2","41590262",Namyang-eup,남양읍
절도사건,37.133638910000002,126.921610200000003,"3","41590259",Hyangnam-eup,향남읍
미귀가자,37.130940019999997,126.911215499999997,"5","41590259",Hyangnam-eup,향남읍
절도사건,37.206968080000003,127.066042400000001,"3","41590127",Bansong-dong,반송동
교통사고,37.202894999999998,127.116376000000002,"2","41590130",Cheonggye-dong,청계동
교통사고,37.207018140000002,127.063229600000000,"2","41590127",Bansong-dong,반송동
교통사고,37.196674080000001,127.076712499999999,"2","41590127",Bansong-dong,반송동
도주차량,37.225724049999997,126.985947300000007,"3","41590124",Gian-dong,기안동
절도사건,37.205944320000000,127.065083400000006,"3","41590127",Bansong-dong,반송동
교통사고,37.178465459999998,126.824429300000006,"2","41590262",Namyang-eup,남양읍
도주차량,37.216378349999999,127.080772300000007,"3","41590128",Seogu-dong,석우동
절도사건,37.210349579999999,127.067894800000005,"3","41590127",Bansong-dong,반송동
교통사고,37.169777770000003,126.708358899999993,"2","41590350",Seosin-myeon,서신면
도주차량,37.200488729999996,127.037270199999995,"3","41590117",Byeongjeom-dong,병점동
재물손괴,37.206747530000001,127.009061099999997,"2","41590125",Songsan-dong,송산동
재물손괴,37.207451870000000,127.010644099999993,"2","41590125",Songsan-dong,송산동
도로교통법위반,37.116028890000003,126.887281299999998,"2","41590360",Paltan-myeon,팔탄면
도로교통법위반,37.202943210000001,126.788317899999996,"2","41590330",Mado-myeon,마도면
재물손괴,37.204746700000001,127.109829199999993,"2","41590131",Yeongcheon-dong,영천동
절도사건,37.209029800000003,127.033967300000000,"3","41590116",Jinan-dong,진안동
교통사고,37.197614909999999,126.819675300000000,"2","41590262",Namyang-eup,남양읍
교통사고,37.133638910000002,126.921610200000003,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.128604230000001,126.835631899999996,"2","41590370",Jangan-myeon,장안면
교통사고,37.217175599999997,126.976610399999998,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.220626060000001,126.950058600000006,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.227493170000002,126.700834099999994,"2","41590340",Songsan-myeon,송산면
도로교통법위반,37.152338210000003,126.981394399999999,"2","41590410",Jeongnam-myeon,정남면
절도사건,37.130290000000002,126.900147799999999,"3","41590259",Hyangnam-eup,향남읍
공갈사건,37.108789000000002,126.908529999999999,"3","41590259",Hyangnam-eup,향남읍
교통사고,37.130326779999997,126.916712099999998,"2","41590259",Hyangnam-eup,향남읍
절도사건,37.202995999999999,127.125940000000000,"3","41590131",Yeongcheon-dong,영천동
절도사건,37.209527119999997,127.037432699999997,"3","41590117",Byeongjeom-dong,병점동
절도사건,37.210980429999999,127.004250099999993,"3","41590125",Songsan-dong,송산동
교통사고,37.204487649999997,127.074444499999998,"2","41590127",Bansong-dong,반송동
교통사고,37.129315570000003,126.924884399999996,"2","41590259",Hyangnam-eup,향남읍
강제추행사건,37.233300000000000,127.059170600000002,"5","41590120",Banwol-dong,반월동
강제추행사건,37.232277689999997,127.059011200000000,"5","41590120",Banwol-dong,반월동
교통사고,37.131079069999998,126.903180000000006,"2","41590259",Hyangnam-eup,향남읍
절도사건,37.088283879999999,126.820977400000004,"3","41590256",Ujeong-eup,우정읍
생활방범,37.135398469999998,126.907905099999994,"2","41590259",Hyangnam-eup,향남읍
도로교통법위반,37.187554149999997,127.073167200000000,"2","41590127",Bansong-dong,반송동
도로교통법위반,37.189195529999999,127.076705000000004,"2","41590127",Bansong-dong,반송동
교통사고,37.209883300000001,126.817407700000004,"2","41590262",Namyang-eup,남양읍
교통사고,37.207451870000000,127.010644099999993,"2","41590125",Songsan-dong,송산동
폭행사건,37.214685889999998,127.053657999999999,"4","41590118",Neung-dong,능동
도로교통법위반,37.211900770000000,127.043248300000002,"2","41590116",Jinan-dong,진안동
도로교통법위반,37.168366079999998,126.984749899999997,"2","41590410",Jeongnam-myeon,정남면
교통사고,37.192758759999997,127.072227999999996,"2","41590127",Bansong-dong,반송동
도로교통법위반,37.214637029999999,127.038680200000002,"2","41590116",Jinan-dong,진안동
도로교통법위반,37.203109200000000,127.059848000000002,"2","41590127",Bansong-dong,반송동
교통사고,37.131846050000000,126.921453700000001,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.213256829999999,126.731994499999999,"2","41590340",Songsan-myeon,송산면
교통사고,37.129871029999997,126.919859700000003,"2","41590259",Hyangnam-eup,향남읍
폭행사건,37.206527649999998,127.063416799999999,"4","41590127",Bansong-dong,반송동
절도사건,37.128396580000000,126.901831700000002,"3","41590259",Hyangnam-eup,향남읍
점유이탈물,37.207578300000002,127.112396099999998,"2","41590131",Yeongcheon-dong,영천동
절도사건,37.211014030000001,127.058769600000005,"3","41590118",Neung-dong,능동
절도사건,37.236404800000003,127.065232499999993,"3","41590120",Banwol-dong,반월동
교통사고,37.192818719999998,127.072750400000004,"2","41590127",Bansong-dong,반송동
교통사고,37.214839519999998,126.960847000000001,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.210569309999997,127.064904400000003,"2","41590127",Bansong-dong,반송동
교통사고,37.185722640000002,126.938156699999993,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.204746700000001,127.109829199999993,"3","41590131",Yeongcheon-dong,영천동
절도사건,37.215838249999997,127.055779099999995,"3","41590118",Neung-dong,능동
교통사고,37.129663290000003,126.909887200000000,"2","41590259",Hyangnam-eup,향남읍
절도사건,37.204660169999997,127.138449499999993,"3","41590132",Jung-dong,중동
절도사건,37.208060969999998,127.066210799999993,"3","41590127",Bansong-dong,반송동
쓰레기상습투기,37.219379760000002,126.949707500000002,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.219284680000001,127.079453799999996,"3","41590128",Seogu-dong,석우동
교통사고,37.210569309999997,127.064904400000003,"2","41590127",Bansong-dong,반송동
절도사건,37.200277829999997,126.965820600000001,"3","41590253",Bongdam-eup,봉담읍
재물손괴,37.210980429999999,127.004250099999993,"2","41590125",Songsan-dong,송산동
강제추행사건,37.208095849999999,127.073810600000002,"5","41590128",Seogu-dong,석우동
교통사고,37.211266500000001,127.013385299999996,"2","41590125",Songsan-dong,송산동
교통사고,37.213018570000003,127.032362300000003,"2","41590116",Jinan-dong,진안동
분실사건,37.214557810000002,126.978140199999999,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.131290690000000,126.918325199999998,"3","41590259",Hyangnam-eup,향남읍
절도사건,37.164729000000001,127.087806000000000,"3","41590138",Banggyo-dong,방교동
재물손괴,37.206292750000003,127.039684300000005,"2","41590117",Byeongjeom-dong,병점동
폭행사건,37.208939030000003,127.044677300000004,"4","41590117",Byeongjeom-dong,병점동
절도사건,37.204746700000001,127.109829199999993,"3","41590131",Yeongcheon-dong,영천동
교통사고,37.167677419999997,126.707905800000006,"2","41590350",Seosin-myeon,서신면
절도사건,37.249185740000001,126.925855600000006,"3","41590310",Maesong-myeon,매송면
교통사고,37.159591530000000,126.903341900000001,"2","41590360",Paltan-myeon,팔탄면
교통사고,37.210980429999999,127.004250099999993,"2","41590125",Songsan-dong,송산동
강제추행,37.206969999999998,127.072765000000004,"5","41590127",Bansong-dong,반송동
도로교통법위반,37.133213339999998,126.923539599999998,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.205503530000001,127.061835500000001,"2","41590127",Bansong-dong,반송동
교통사고,37.236404800000003,127.065232499999993,"2","41590120",Banwol-dong,반월동
교통사고,37.244784099999997,126.946319200000005,"2","41590310",Maesong-myeon,매송면
교통사고,37.211795690000002,127.050346500000003,"2","41590117",Byeongjeom-dong,병점동
교통사고,37.130622000000002,126.907972999999998,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.093047200000001,126.985037899999995,"2","41590400",Yanggam-myeon,양감면
교통사고,37.219612970000000,126.952593800000002,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.206893510000000,126.804852100000005,"2","41590262",Namyang-eup,남양읍
절도사건,37.129683389999997,126.914520400000001,"3","41590259",Hyangnam-eup,향남읍
교통사고,37.284363229999997,126.907568299999994,"2","41590310",Maesong-myeon,매송면
폭행사건,37.126032340000002,126.924415900000000,"4","41590259",Hyangnam-eup,향남읍
도로교통법위반,37.222944320000003,126.947972300000004,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.174314140000000,126.938383999999999,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.209879610000002,127.062110399999995,"2","41590127",Bansong-dong,반송동
절도사건,37.106690700000001,126.841708100000005,"3","41590370",Jangan-myeon,장안면
주취폭력첩보사건,37.205754169999999,126.854730599999996,"3","41590262",Namyang-eup,남양읍
도로교통법위반,37.198130310000003,127.067631599999999,"2","41590127",Bansong-dong,반송동
도로교통법위반,37.199820549999998,127.059297299999997,"2","41590118",Neung-dong,능동
도로교통법위반,37.202090370000001,127.036930200000000,"2","41590117",Byeongjeom-dong,병점동
절도사건,37.191492500000003,127.092131800000004,"3","41590129",Osan-dong,오산동
절도사건,37.247925309999999,126.891251699999998,"3","41590320",Bibong-myeon,비봉면
절도사건,37.217945000000000,126.955744800000005,"3","41590253",Bongdam-eup,봉담읍
절도사건,37.190381639999998,126.973860200000004,"3","41590410",Jeongnam-myeon,정남면
교통사고,37.155829349999998,127.115279299999997,"2","41590136",Jangji-dong,장지동
교통사고,37.210495399999999,126.816252500000004,"2","41590262",Namyang-eup,남양읍
절도사건,37.213667950000001,126.739702300000005,"3","41590340",Songsan-myeon,송산면
점유이탈물횡령사건,37.194385310000001,127.067070599999994,"2","41590127",Bansong-dong,반송동
사기사건,37.126527650000000,126.914111199999994,"3","41590259",Hyangnam-eup,향남읍
절도사건,37.208285420000003,127.064849100000004,"3","41590127",Bansong-dong,반송동
교통사고,37.251017509999997,126.926562500000003,"2","41590310",Maesong-myeon,매송면
절도사건,37.224305350000002,126.859232500000005,"3","41590320",Bibong-myeon,비봉면
교통사고,37.198245999999997,127.102243999999999,"2","41590130",Cheonggye-dong,청계동
강간피의사건,37.127781249999998,126.920604900000001,"5","41590259",Hyangnam-eup,향남읍
교통사고,37.202482349999997,127.039914400000001,"2","41590117",Byeongjeom-dong,병점동
도로교통법위반,37.200488729999996,127.037270199999995,"2","41590117",Byeongjeom-dong,병점동
교통사고,37.189780300000002,127.079719200000000,"2","41590127",Bansong-dong,반송동
도주사건,37.190161879999998,127.073767399999994,"3","41590127",Bansong-dong,반송동
교통사고,37.208682260000003,127.061657199999999,"2","41590127",Bansong-dong,반송동
교통사고,37.124915639999998,126.914333799999994,"2","41590259",Hyangnam-eup,향남읍
절도사건,37.086806430000003,126.910576300000002,"3","41590259",Hyangnam-eup,향남읍
